id,sampledate,site,rack,par,temp,midge_tubes,do_flux
1,2018-06-24,st33,3,387.88048702802496,13.600000000000001,1,0.21345882352941184
2,2018-06-24,st33,3,286.17662104895953,13.75,1,0.1948235294117646
3,2018-06-24,st33,3,161.44944693979082,13.149999999999999,3,0.14452941176470574
4,2018-06-24,st33,4,129.9371645938759,13.5,14,0.1188539325842697
5,2018-06-24,st33,4,0,13.4,0,-0.04581818181818161
6,2018-06-24,st33,4,387.88048702802496,13.35,1,0.13065168539325847
7,2018-06-24,st33,4,286.17662104895953,13.15,1,0.23700000000000004
8,2018-06-24,st33,4,161.44944693979082,13.3,3,0.15455056179775287
9,2018-06-24,st33,4,129.9371645938759,13.100000000000001,48,0.22483146067415746
10,2018-06-24,st33,4,0,13.45,1,-0.07731818181818186
11,2018-06-24,st33,4,387.88048702802496,13.3,12,0.22102325581395343
12,2018-06-24,st33,4,286.17662104895953,13.5,0,0.19227272727272715
13,2018-06-24,st33,4,161.44944693979082,13.2,0,0.196186046511628
14,2018-06-24,st33,4,129.9371645938759,13.4,2,0.14379545454545462
15,2018-06-24,st33,4,0,13.45,20,-0.13486363636363627
16,2018-06-28,reyk,2,80.89700599497004,13.5,0,-0.04633043478260859
17,2018-06-28,reyk,2,59.685476848814176,12.95,9,-0.02580530973451349
18,2018-06-28,reyk,2,33.672167881002984,12.95,34,-0.08394736842105265
19,2018-06-28,reyk,2,18.392354757411372,12.55,3,-0.021879310344827766
20,2018-06-28,reyk,2,0,13.35,4,-0.03299999999999983
21,2018-06-28,reyk,2,80.89700599497004,13.6,32,0.03258620689655165
22,2018-06-28,reyk,2,59.685476848814176,13.05,18,0.05120689655172406
23,2018-06-28,reyk,2,33.672167881002984,12.850000000000001,15,0.009413793103448075
24,2018-06-28,reyk,2,18.392354757411372,12.1,31,-0.024827586206896575
25,2018-06-28,reyk,2,0,13.3,17,-0.061448275862069024
26,2018-06-28,reyk,1,80.89700599497004,13.65,21,0.04154237288135582
27,2018-06-28,reyk,1,59.685476848814176,12.95,25,0.02560344827586194
28,2018-06-28,reyk,1,33.672167881002984,12.95,28,0.02907692307692303
29,2018-06-28,reyk,1,18.392354757411372,12.25,13,0.004904347826086852
30,2018-06-28,reyk,1,0,13.4,32,-0.04986554621848736
31,2018-07-17,reyk,3,185.7467477813693,13.15,51,0.04731
32,2018-07-17,reyk,3,101.10989447275148,13.2,63,0.02600000000000008
33,2018-07-17,reyk,3,32.18092159794752,13.2,75,-0.0032412060301507998
34,2018-07-17,reyk,3,9.601321041020716,13.25,35,-0.010818181818181815
35,2018-07-17,reyk,3,0,13.2,70,-0.011713567839196026
36,2018-07-17,reyk,3,185.7467477813693,13.25,60,0.034327272727272824
37,2018-07-17,reyk,3,101.10989447275148,13.2,2,0.007999999999999948
38,2018-07-17,reyk,3,32.18092159794752,13.2,70,0.01879899497487443
39,2018-07-17,reyk,3,9.601321041020716,13.15,68,-0.03712121212121208
40,2018-07-17,reyk,3,0,13.2,2,-0.012241206030150803
41,2018-07-17,reyk,3,185.7467477813693,13.350000000000001,116,0.04731
42,2018-07-17,reyk,3,101.10989447275148,13.25,67,0.04766834170854265
43,2018-07-17,reyk,2,32.18092159794752,13.05,37,0.014303030303030317
44,2018-07-17,reyk,2,9.601321041020716,13.35,81,-0.036
45,2018-07-17,reyk,2,0,13.100000000000001,91,-0.06304522613065323
46,2018-07-25,st33,4,199.306443096854,13.6,5,0.17444318181818202
47,2018-07-25,st33,4,147.0474704096765,13.149999999999999,1,0.1242
48,2018-07-25,st33,4,82.95832372510934,13.2,6,0.11516250000000001
49,2018-07-25,st33,4,45.31335568961706,13.1,0,-0.0407647058823529
50,2018-07-25,st33,4,0,13.2,17,-0.11121951219512206
51,2018-07-25,st33,1,199.306443096854,13.3,7,0.2520689655172414
52,2018-07-25,st33,1,147.0474704096765,13.55,49,0.021702127659574463
53,2018-07-25,st33,1,82.95832372510934,13.15,8,0.01387499999999993
54,2018-07-25,st33,1,45.31335568961706,13.25,17,0.05615217391304349
55,2018-07-25,st33,1,0,13.05,35,-0.08386363636363632
56,2018-07-25,st33,1,199.306443096854,13.350000000000001,4,0.13109677419354834
57,2018-07-25,st33,1,147.0474704096765,13.100000000000001,31,0.14279999999999993
58,2018-07-25,st33,1,82.95832372510934,13.25,29,0.03638709677419358
59,2018-07-25,st33,1,45.31335568961706,13.05,11,0.10917391304347843
60,2018-07-25,st33,1,0,13.2,2,-0.0692258064516129
61,2018-08-10,reyk,4,453.4949761237642,13.350000000000001,8,0.11794871794871796
62,2018-08-10,reyk,4,334.58672005947193,12.75,7,0.060775862068965514
63,2018-08-10,reyk,4,188.76049590982743,12.9,3,0.04538793103448269
64,2018-08-10,reyk,4,103.10443976246393,12.6,6,0.06095575221238924
65,2018-08-10,reyk,4,0,12.75,0,-0.026224137931034636
66,2018-08-10,reyk,4,453.4949761237642,12.5,0,0.01253571428571439
67,2018-08-10,reyk,4,334.58672005947193,12.75,0,0.06639823008849552
68,2018-08-10,reyk,4,188.76049590982743,12.45,3,0.014437500000000157
69,2018-08-10,reyk,4,103.10443976246393,12.600000000000001,8,0.04273043478260876
70,2018-08-10,reyk,4,0,12.5,5,-0.0237837837837837
